Term,Rank,Impact,Class,Region
transcript_ablation,1,HIGH,,transcript
splice_acceptor_variant,2,HIGH,NONSENSE,splice_site
splice_donor_variant,3,HIGH,NONSENSE,splice_site
stop_gained,4,HIGH,NONSENSE,exon
frameshift_variant,5,HIGH,NONSENSE,exon
stop_lost,6,HIGH,NONSENSE,exon
start_lost,7,HIGH,NONSENSE,exon
transcript_amplification,8,HIGH,,transcript
feature_elongation,9,HIGH,,transcript
feature_truncation,10,HIGH,,transcript
inframe_insertion,11,MODERATE,MISSENSE,exon
inframe_deletion,12,MODERATE,MISSENSE,exon
missense_variant,13,MODERATE,MISSENSE,exon
protein_altering_variant,14,MODERATE,MISSENSE,exon
splice_donor_5th_base_variant,15,LOW,,splice_site
splice_region_variant,16,LOW,,splice_site
splice_donor_region_variant,17,LOW,,splice_site
splice_polypyrimidine_tract_variant,18,LOW,,splice_site
incomplete_terminal_codon_variant,19,LOW,,exon
start_retained_variant,20,LOW,SILENT,exon
stop_retained_variant,21,LOW,SILENT,exon
synonymous_variant,22,LOW,SILENT,exon
coding_sequence_variant,23,MODIFIER,,exon
mature_miRNA_variant,24,MODIFIER,,exon
5_prime_UTR_variant,25,MODIFIER,,utr_5_prime
3_prime_UTR_variant,26,MODIFIER,,utr_3_prime
non_coding_transcript_exon_variant,27,MODIFIER,,exon
intron_variant,28,MODIFIER,,intron
NMD_transcript_variant,29,MODIFIER,,transcript
non_coding_transcript_variant,30,MODIFIER,,transcript
coding_transcript_variant,31,MODIFIER,,transcript
upstream_gene_variant,32,MODIFIER,,upstream
downstream_gene_variant,33,MODIFIER,,downstream
TFBS_ablation,34,MODIFIER,,tfbs
TFBS_amplification,35,MODIFIER,,tfbs
TF_binding_site_variant,36,MODIFIER,,tfbs
regulatory_region_ablation,37,MODIFIER,,regulatory
regulatory_region_amplification,38,MODIFIER,,regulatory
regulatory_region_variant,39,MODIFIER,,regulatory
intergenic_variant,40,MODIFIER,,intergenic
sequence_variant,41,MODIFIER,,none
